metric,value
initial_deposit,100000.00
final_balance,101358.41
final_equity,
net_profit,1358.41
return_on_capital_pct,1.36
total_profit_pct,1.36
cagr_pct,0.42
annual_return_pct,0.42
average_annual_profit_pct,0.34
average_annual_return_pct,0.34
average_monthly_profit_pct,0.03
average_monthly_return_pct,0.03
average_daily_profit_pct,0.00
average_daily_return_pct,0.00
total_trades,60.00
winning_trades,34.00
losing_trades,26.00
break_even_trades,0.00
win_rate_pct,56.67
wins_losses_ratio,1.31
gross_profit,3021.43
gross_loss,-1663.02
gross_profit_pct,3.02
gross_loss_pct,-1.66
profit_factor,1.82
payoff_ratio,1.39
payout_ratio,1.39
expectancy,22.64
average_win,88.87
average_loss,-63.96
average_trade,22.64
average_win_pct,0.09
average_loss_pct,-0.06
average_trade_pct,0.02
largest_win,278.73
largest_loss,-169.77
largest_win_pct,0.28
largest_loss_pct,-0.17
max_consecutive_wins,6.00
max_consecutive_losses,6.00
max_consecutive_wins_money,243.44
max_consecutive_losses_money,-187.61
average_consecutive_wins,2.27
average_consecutive_losses,1.73
max_drawdown_money,351.69
max_drawdown_pct,0.35
average_drawdown_money,166.89
longest_drawdown_points,22.00
max_runup_money,1688.66
max_runup_pct,1.69
ulcer_index_pct,0.17
return_drawdown_ratio,3.88
annual_return_to_max_drawdown_ratio,1.19
max_stagnation_days,458.77
max_stagnation_pct,38.72
custom_trade_event_sharpe,0.23
sharpe_ratio,0.23
daily_sharpe_ratio,0.05
annualized_daily_sharpe_ratio,0.96
daily_sharpe_observations,1186.00
daily_sharpe_annualization_factor,365.24
sortino_ratio,0.29
std_deviation,0.00
recovery_factor,3.86
calmar_ratio,1.19
mar_ratio,1.20
omega_ratio,1.82
gain_to_pain_ratio,1.82
ahpr_pct,0.02
average_holding_period_return_pct,0.02
trade_profit_stddev,99.84
trade_profit_stddev_pct,0.10
deviation_pct,0.10
strategy_quality_number,0.23
sqn,1.76
sqn_score,1.76
z_score,-0.12
z_probability_pct,9.85
max_position_exposure,1.00
max_pos_exposure,1.00
max_lots_exposure,0.50
average_bars_in_trade,
average_bars_in_wins,
average_bars_in_losses,
cancelled_expired_trades,
r_expectancy,
r_expectancy_score,
avg_holding_hours,17.47
first_trade_time,2021-01-04T09:00:00
last_trade_time,2024-04-03T06:52:00
trading_years,3.24
