period,month_end_drawdown_amount,month_end_drawdown_percent,maximum_intramonth_drawdown_amount,maximum_intramonth_drawdown_percent,peak_to_trough_contained_amount,peak_to_trough_contained_percent,drawdown_duration_days
2021-01,127.09,0.13,127.09,0.13,127.09,0.13,21.76
2021-02,218.57,0.22,218.57,0.22,0.00,0.00,
2021-03,11.50,0.01,116.60,0.12,0.00,0.00,
2021-04,139.53,0.14,139.53,0.14,0.00,0.00,
2021-05,91.53,0.09,103.26,0.10,0.00,0.00,
2021-06,191.09,0.19,191.09,0.19,0.00,0.00,
2021-07,39.41,0.04,265.70,0.27,0.00,0.00,
2021-08,0.00,0.00,0.00,0.00,0.00,0.00,
2021-09,0.00,0.00,18.92,0.02,0.00,0.00,
2021-10,28.63,0.03,28.63,0.03,0.00,0.00,
2021-11,62.53,0.06,62.53,0.06,23.68,0.02,17.76
2021-12,97.39,0.10,97.39,0.10,0.00,0.00,
2022-01,187.61,0.19,187.61,0.19,50.37,0.05,20.97
2022-02,0.00,0.00,0.00,0.00,0.00,0.00,
2022-03,59.34,0.06,59.34,0.06,59.34,0.06,20.93
2022-04,61.47,0.06,61.47,0.06,10.21,0.01,17.76
2022-05,231.24,0.23,231.24,0.23,0.00,0.00,
2022-06,329.41,0.33,329.41,0.33,0.00,0.00,
2022-07,351.69,0.35,351.69,0.35,53.99,0.05,16.97
2022-08,296.98,0.30,337.95,0.34,0.00,0.00,
2022-09,314.98,0.31,314.98,0.31,0.00,0.00,
2022-10,285.55,0.28,305.45,0.30,0.00,0.00,
2022-11,231.57,0.23,231.57,0.23,0.00,0.00,
2022-12,123.66,0.12,158.32,0.16,0.00,0.00,
2023-01,71.54,0.07,71.54,0.07,0.00,0.00,
2023-02,305.17,0.30,305.17,0.30,110.24,0.11,21.72
2023-03,262.31,0.26,262.31,0.26,0.00,0.00,
2023-04,320.07,0.32,320.07,0.32,19.46,0.02,21.76
2023-05,174.68,0.17,174.68,0.17,0.00,0.00,
2023-06,0.00,0.00,0.00,0.00,0.00,0.00,
2023-07,0.00,0.00,0.00,0.00,0.00,0.00,
2023-08,0.00,0.00,0.00,0.00,0.00,0.00,
2023-09,25.70,0.03,25.70,0.03,0.00,0.00,
2023-10,0.00,0.00,0.00,0.00,0.00,0.00,
2023-11,31.46,0.03,31.46,0.03,0.00,0.00,
2023-12,0.00,0.00,0.00,0.00,0.00,0.00,
2024-01,0.00,0.00,90.71,0.09,0.00,0.00,
2024-02,0.00,0.00,0.00,0.00,0.00,0.00,
2024-03,0.00,0.00,0.00,0.00,0.00,0.00,
2024-04,86.98,0.09,86.98,0.09,0.00,0.00,
