period,pnl,return_on_starting_equity,return_on_initial_capital,cumulative_return,trade_count
2021-01,-104.66,-0.00,-0.00,-0.00,2.00
2021-02,-91.48,-0.00,-0.00,-0.00,1.00
2021-03,207.07,0.00,0.00,0.00,2.00
2021-04,-128.03,-0.00,-0.00,-0.00,1.00
2021-05,48.00,0.00,0.00,-0.00,2.00
2021-06,-99.56,-0.00,-0.00,-0.00,1.00
2021-07,151.68,0.00,0.00,-0.00,2.00
2021-08,58.78,0.00,0.00,0.00,1.00
2021-09,226.90,0.00,0.00,0.00,2.00
2021-10,-28.63,-0.00,-0.00,0.00,1.00
2021-11,-33.90,-0.00,-0.00,0.00,2.00
2021-12,-34.86,-0.00,-0.00,0.00,1.00
2022-01,-90.22,-0.00,-0.00,0.00,2.00
2022-02,207.09,0.00,0.00,0.00,1.00
2022-03,70.37,0.00,0.00,0.00,2.00
2022-04,-2.13,-0.00,-0.00,0.00,2.00
2022-05,-169.77,-0.00,-0.00,0.00,1.00
2022-06,-98.17,-0.00,-0.00,0.00,1.00
2022-07,-22.28,-0.00,-0.00,0.00,2.00
2022-08,54.71,0.00,0.00,0.00,2.00
2022-09,-18.00,-0.00,-0.00,0.00,1.00
2022-10,29.43,0.00,0.00,0.00,2.00
2022-11,53.98,0.00,0.00,0.00,1.00
2022-12,107.91,0.00,0.00,0.00,2.00
2023-01,52.12,0.00,0.00,0.00,1.00
2023-02,-233.63,-0.00,-0.00,0.00,2.00
2023-03,42.86,0.00,0.00,0.00,1.00
2023-04,-57.76,-0.00,-0.00,0.00,2.00
2023-05,145.39,0.00,0.00,0.00,1.00
2023-06,322.08,0.00,0.00,0.01,2.00
2023-07,9.36,0.00,0.00,0.01,1.00
2023-08,133.04,0.00,0.00,0.01,2.00
2023-09,-25.70,-0.00,-0.00,0.01,1.00
2023-10,246.97,0.00,0.00,0.01,2.00
2023-11,-31.46,-0.00,-0.00,0.01,1.00
2023-12,244.54,0.00,0.00,0.01,2.00
2024-01,150.07,0.00,0.00,0.01,2.00
2024-02,89.82,0.00,0.00,0.01,1.00
2024-03,63.46,0.00,0.00,0.01,1.00
2024-04,-86.98,-0.00,-0.00,0.01,1.00
