row,Example Strategy A,Example Strategy B,Example Strategy C,PORTFOLIO
2021-01-04T08:59:59,40000.00,35000.00,25000.00,100000.00
2021-01-04T09:00:00,40000.00,35000.00,25000.00,100000.00
2021-01-04T11:00:00,40008.97,35007.91,24997.32,100014.21
2021-01-26T05:13:00,39958.14,34993.21,25006.53,99957.88
2021-02-16T23:26:00,39921.54,34987.25,25000.21,99909.00
2021-03-08T15:39:00,39962.33,34960.16,25018.99,99941.49
2021-03-26T09:52:00,40004.37,34942.20,24994.96,99941.53
2021-04-17T03:10:00,39953.16,34970.76,25024.24,99948.16
2021-05-06T19:23:00,39967.67,34941.98,25015.46,99925.11
2021-05-28T13:36:00,39972.36,34955.18,25008.29,99935.83
2021-06-15T07:49:00,39932.54,34936.42,25026.48,99895.43
2021-07-04T23:07:00,39902.69,34950.05,25023.79,99876.53
2021-07-26T17:20:00,39993.21,34971.05,25014.25,99978.51
2021-08-16T16:33:00,40016.72,34998.89,24996.32,100011.93
2021-09-02T03:46:00,40009.15,34983.87,25030.55,100023.57
2021-09-23T21:04:00,40107.48,34950.73,24974.92,100033.14
2021-10-14T20:17:00,40096.03,34940.35,24978.54,100014.92
2021-11-04T07:30:00,40091.94,34963.08,25002.38,100057.40
2021-11-22T01:43:00,40082.47,35011.85,25024.85,100119.17
2021-12-11T17:01:00,40068.52,35017.30,25029.80,100115.63
2022-01-02T11:14:00,40052.58,35090.29,25043.75,100186.62
2022-01-23T10:27:00,40032.44,35094.04,25040.07,100166.54
2022-02-08T21:40:00,40115.27,35135.77,25077.21,100328.25
2022-03-02T15:53:00,40167.16,35126.13,25095.36,100388.65
2022-03-23T14:11:00,40143.42,35152.21,25097.64,100393.27
2022-04-13T01:24:00,40146.65,35145.05,25080.06,100371.76
2022-04-30T19:37:00,40142.57,35174.18,25088.40,100405.15
2022-05-21T18:50:00,40074.66,35186.85,25091.06,100352.58
2022-06-11T05:08:00,40035.39,35197.63,25140.21,100373.24
2022-07-02T23:21:00,40048.08,35193.37,25143.71,100385.15
2022-07-19T22:34:00,40026.48,35258.31,25146.63,100431.42
2022-08-09T09:47:00,40031.98,35251.54,25137.57,100421.09
2022-08-30T08:05:00,40048.36,35235.00,25123.00,100406.36
2022-09-19T19:18:00,40041.16,35267.96,25090.33,100399.45
2022-10-07T13:31:00,40044.98,35273.06,25056.59,100374.62
2022-10-28T12:44:00,40052.94,35261.52,25040.55,100355.00
2022-11-17T23:02:00,40074.53,35265.59,25031.55,100371.67
2022-12-09T17:15:00,40103.83,35248.50,25037.48,100389.81
2022-12-26T16:28:00,40117.69,35288.19,25026.55,100432.43
2023-01-16T03:41:00,40138.54,35291.84,25055.57,100485.95
2023-02-06T02:54:00,40089.18,35299.53,25089.30,100478.01
2023-02-27T20:12:00,40045.09,35295.36,25086.80,100427.24
2023-03-16T07:25:00,40062.23,35318.56,25120.21,100501.00
2023-04-06T06:38:00,40046.91,35337.44,25165.16,100549.51
2023-04-28T00:51:00,40039.13,35305.01,25133.10,100477.24
2023-05-18T11:09:00,40097.28,35309.38,25180.41,100587.08
2023-06-04T10:22:00,40208.78,35323.37,25211.65,100743.79
2023-06-26T04:35:00,40226.12,35319.10,25223.19,100768.40
2023-07-16T15:48:00,40229.86,35286.55,25248.21,100764.62
2023-08-06T14:06:00,40247.38,35324.83,25226.64,100798.84
2023-08-23T01:19:00,40283.08,35342.29,25272.12,100897.49
2023-09-13T00:32:00,40272.80,35355.54,25317.92,100946.26
2023-10-04T18:45:00,40341.20,35364.74,25335.24,101041.19
2023-10-25T05:03:00,40371.58,35357.13,25339.80,101068.51
2023-11-11T04:16:00,40359.00,35376.53,25423.29,101158.82
2023-12-02T22:29:00,40420.55,35402.42,25437.12,101260.09
2023-12-23T09:42:00,40456.82,35395.81,25439.28,101291.91
2024-01-13T08:00:00,40420.53,35381.43,25445.72,101247.68
2024-01-31T02:13:00,40516.84,35389.70,25470.91,101377.46
2024-02-19T18:26:00,40552.77,35361.95,25500.54,101415.26
2024-03-12T12:39:00,40578.16,35402.41,25450.01,101430.57
2024-04-03T06:52:00,40543.36,35417.73,25461.28,101422.38
