episode_id,status,peak_index,trough_index,end_index,recovery_index,peak_time,trough_time,recovery_time,end_time,peak_value,trough_value,recovery_value,end_value,depth_money,depth_percent,duration_days,duration_periods,depth_percentile,depth_tail_rarity_percent,depth_ordinal_rank,duration_percentile,duration_tail_rarity_percent,duration_ordinal_rank
1,completed,1,2,3,3,2021-01-05T15:00:00,2021-01-07T09:00:00,2021-01-10T03:00:00,2021-01-10T03:00:00,100180.0,99979.64,100240.0,100240.0,200.36000000000058,0.20000000000000057,4.5,2,5.555555555555555,94.44444444444444,2.0,4.166666666666666,94.44444444444444,1.5
2,completed,4,6,7,7,2021-01-12T21:00:00,2021-01-21T09:00:00,2021-01-29T03:00:00,2021-01-29T03:00:00,100455.0,100218.93000000001,100540.00000000001,100540.00000000001,236.06999999999243,0.235000746602949,16.25,3,11.11111111111111,88.88888888888889,4.0,33.33333333333333,66.66666666666666,12.0
3,completed,8,11,12,12,2021-02-01T21:00:00,2021-02-21T03:00:00,2021-03-05T21:00:00,2021-03-05T21:00:00,100790.00000000001,100517.87000000001,100900.00000000001,100900.00000000001,272.13000000000466,0.2699970235142421,32.0,4,22.22222222222222,77.77777777777779,8.0,94.44444444444444,5.555555555555555,34.0
4,completed,13,14,15,15,2021-03-07T15:00:00,2021-03-11T09:00:00,2021-03-29T03:00:00,2021-03-29T03:00:00,101185.00000000001,100876.39000000001,101320.00000000001,101320.00000000001,308.6100000000006,0.30499579977269414,21.5,2,30.555555555555557,69.44444444444444,11.0,68.05555555555556,30.555555555555557,24.5
5,completed,16,18,19,19,2021-03-31T21:00:00,2021-04-09T09:00:00,2021-04-14T03:00:00,2021-04-14T03:00:00,101640.00000000001,101294.42000000001,101800.00000000001,101800.00000000001,345.58000000000175,0.3400039354584826,13.25,3,41.66666666666667,58.333333333333336,15.0,22.22222222222222,77.77777777777779,8.0
6,completed,20,23,24,24,2021-04-17T21:00:00,2021-04-26T03:00:00,2021-05-05T21:00:00,2021-05-05T21:00:00,102155.00000000001,101771.92000000001,102215.00000000001,102215.00000000001,383.08000000000175,0.37499877636924445,18.0,4,52.77777777777778,47.22222222222222,19.0,47.22222222222222,52.77777777777778,17.0
7,completed,25,26,27,27,2021-05-07T15:00:00,2021-05-09T09:00:00,2021-05-24T03:00:00,2021-05-24T03:00:00,102605.00000000001,102184.32000000002,102690.00000000001,102690.00000000001,420.679999999993,0.40999951269430623,16.5,2,61.111111111111114,38.88888888888889,22.0,37.5,61.111111111111114,13.5
8,completed,28,30,31,31,2021-05-26T21:00:00,2021-06-01T09:00:00,2021-06-21T03:00:00,2021-06-21T03:00:00,103115.00000000001,102656.14000000001,103225.00000000001,103225.00000000001,458.8600000000006,0.44499830286573294,25.25,3,69.44444444444444,30.555555555555557,25.0,86.11111111111111,13.88888888888889,31.0
9,completed,32,35,36,36,2021-06-24T21:00:00,2021-07-05T03:00:00,2021-07-11T21:00:00,2021-07-11T21:00:00,103425.00000000001,102928.56000000003,103560.00000000003,103560.00000000003,496.4399999999878,0.4799999999999881,17.0,4,80.55555555555556,19.444444444444446,29.0,43.05555555555556,55.55555555555556,15.5
10,completed,37,38,39,39,2021-07-13T15:00:00,2021-07-17T09:00:00,2021-07-29T03:00:00,2021-07-29T03:00:00,103795.00000000003,103587.41000000003,103955.00000000003,103955.00000000003,207.5899999999965,0.19999999999999657,15.5,2,2.7777777777777777,97.22222222222221,1.0,29.166666666666668,69.44444444444444,10.5
11,completed,40,42,43,43,2021-07-31T21:00:00,2021-08-06T09:00:00,2021-08-23T03:00:00,2021-08-23T03:00:00,104225.00000000003,103980.07000000002,104285.00000000001,104285.00000000001,244.93000000000757,0.23500119932838331,22.25,3,13.88888888888889,86.11111111111111,5.0,75.0,25.0,27.0
12,completed,44,47,48,48,2021-08-26T21:00:00,2021-09-12T03:00:00,2021-09-15T21:00:00,2021-09-15T21:00:00,104590.00000000001,103889.25000000001,104675.00000000001,104675.00000000001,700.75,0.6699971316569461,20.0,4,94.44444444444444,5.555555555555555,34.0,54.166666666666664,44.44444444444444,19.5
13,completed,49,50,51,51,2021-09-17T15:00:00,2021-09-19T09:00:00,2021-09-28T03:00:00,2021-09-28T03:00:00,105015.00000000001,104668.45000000001,105125.00000000001,105125.00000000001,346.5500000000029,0.3300004761224614,10.5,2,36.11111111111111,63.888888888888886,13.0,15.277777777777779,83.33333333333334,5.5
14,completed,52,54,55,55,2021-09-30T21:00:00,2021-10-10T09:00:00,2021-10-24T03:00:00,2021-10-24T03:00:00,105500.00000000001,105114.92000000003,105635.00000000003,105635.00000000003,385.0799999999872,0.3650047393364807,23.25,3,50.0,50.0,18.0,80.55555555555556,19.444444444444446,29.0
15,completed,56,59,60,60,2021-10-27T21:00:00,2021-11-08T03:00:00,2021-11-26T21:00:00,2021-11-26T21:00:00,106045.00000000003,105620.82000000002,106205.00000000001,106205.00000000001,424.18000000000757,0.400000000000007,30.0,4,58.333333333333336,41.66666666666667,21.0,88.88888888888889,11.11111111111111,32.0
16,completed,61,62,63,63,2021-11-28T15:00:00,2021-12-02T09:00:00,2021-12-08T03:00:00,2021-12-08T03:00:00,106650.00000000001,106186.07000000002,106710.00000000001,106710.00000000001,463.929999999993,0.4350023441162616,9.5,2,66.66666666666666,33.33333333333333,24.0,9.722222222222223,88.88888888888889,3.5
17,completed,64,66,67,67,2021-12-10T21:00:00,2021-12-20T09:00:00,2021-12-31T03:00:00,2021-12-31T03:00:00,106930.00000000001,106427.43000000001,107015.00000000001,107015.00000000001,502.570000000007,0.46999906480875986,20.25,3,77.77777777777779,22.22222222222222,28.0,59.72222222222222,38.88888888888889,21.5
18,completed,68,71,72,72,2022-01-03T21:00:00,2022-01-21T03:00:00,2022-02-05T21:00:00,2022-02-05T21:00:00,107270.00000000001,106728.29000000001,107380.00000000001,107380.00000000001,541.7100000000064,0.5049967372051891,33.0,4,86.11111111111111,13.88888888888889,31.0,97.22222222222221,2.7777777777777777,35.0
19,completed,73,74,75,75,2022-02-07T15:00:00,2022-02-09T09:00:00,2022-02-12T03:00:00,2022-02-12T03:00:00,107670.00000000001,107427.74000000002,107805.00000000001,107805.00000000001,242.25999999999476,0.2250023219095335,4.5,2,8.333333333333332,91.66666666666666,3.0,4.166666666666666,94.44444444444444,1.5
20,completed,76,78,79,79,2022-02-14T21:00:00,2022-02-21T09:00:00,2022-03-01T03:00:00,2022-03-01T03:00:00,108130.00000000001,107848.86000000002,108290.00000000001,108290.00000000001,281.1399999999994,0.26000184962545025,14.25,3,19.444444444444446,80.55555555555556,7.0,25.0,75.0,9.0
21,completed,80,83,84,84,2022-03-04T21:00:00,2022-03-14T03:00:00,2022-03-26T21:00:00,2022-03-26T21:00:00,108650.00000000001,108329.48000000001,108710.00000000001,108710.00000000001,320.5200000000041,0.2950023009664096,22.0,4,27.77777777777778,72.22222222222221,10.0,72.22222222222221,27.77777777777778,26.0
