episode_id,status,peak_index,trough_index,end_index,recovery_index,peak_time,trough_time,recovery_time,end_time,peak_value,trough_value,recovery_value,end_value,depth_money,depth_percent,duration_days,duration_periods,depth_percentile,depth_tail_rarity_percent,depth_ordinal_rank,duration_percentile,duration_tail_rarity_percent,duration_ordinal_rank
1,completed,4,5,6,6,2021-01-06T15:00:00,2021-01-07T09:00:00,2021-01-10T03:00:00,2021-01-10T03:00:00,100197.5,100097.32,100227.5,100227.5,100.17999999999302,0.09998253449436664,3.5,2,13.846153846153847,86.15384615384616,9.0,12.307692307692308,87.6923076923077,8.0
2,completed,6,7,10,10,2021-01-10T03:00:00,2021-01-10T09:00:00,2021-01-18T03:00:00,2021-01-18T03:00:00,100227.5,100109.745,100312.58,100312.58,117.75500000000466,0.11748771544736192,8.0,4,26.153846153846157,73.84615384615385,17.0,40.0,58.46153846153847,26.0
3,completed,11,13,14,14,2021-01-20T21:00:00,2021-01-22T15:00:00,2021-01-29T03:00:00,2021-01-29T03:00:00,100437.58,100309.805,100470.34,100470.34,127.77500000000873,0.1272183180837379,8.25,3,32.30769230769231,67.6923076923077,21.0,43.07692307692308,56.92307692307692,28.0
4,completed,14,15,16,16,2021-01-29T03:00:00,2021-01-30T09:00:00,2021-02-01T21:00:00,2021-02-01T21:00:00,100470.34,100409.255,100534.255,100534.255,61.08499999999185,0.060799037805577105,3.75,2,6.153846153846154,93.84615384615384,4.0,18.461538461538463,76.92307692307693,12.0
5,completed,16,18,19,19,2021-02-01T21:00:00,2021-02-11T09:00:00,2021-02-12T03:00:00,2021-02-12T03:00:00,100534.255,100429.485,100620.23000000001,100620.23000000001,104.77000000000407,0.10421323557826541,10.25,3,16.923076923076923,83.07692307692308,11.0,53.07692307692308,46.15384615384615,34.5
6,completed,20,24,25,25,2021-02-15T21:00:00,2021-02-27T03:00:00,2021-03-05T21:00:00,2021-03-05T21:00:00,100762.73000000001,100577.495,100768.56,100768.56,185.23500000001513,0.18383285169031757,18.0,5,52.307692307692314,47.69230769230769,34.0,87.6923076923077,12.307692307692308,57.0
7,completed,26,27,28,28,2021-03-07T15:00:00,2021-03-11T09:00:00,2021-03-16T21:00:00,2021-03-16T21:00:00,100911.06,100756.755,100978.195,100978.195,154.30499999999302,0.15291188101680134,9.25,2,43.07692307692308,56.92307692307692,28.0,48.46153846153846,49.23076923076923,31.5
8,completed,29,30,31,31,2021-03-18T15:00:00,2021-03-20T09:00:00,2021-03-25T03:00:00,2021-03-25T03:00:00,101138.195,100965.815,101218.195,101218.195,172.38000000000466,0.17044005976179882,6.5,2,47.69230769230769,52.307692307692314,31.0,30.76923076923077,69.23076923076923,20.0
9,completed,33,34,35,35,2021-03-29T03:00:00,2021-03-31T15:00:00,2021-03-31T21:00:00,2021-03-31T21:00:00,101617.5,101512.40000000001,101672.40000000001,101672.40000000001,105.09999999999127,0.10342706718822177,2.75,2,15.384615384615385,84.61538461538461,10.0,10.0,89.23076923076924,6.5
10,completed,35,38,40,40,2021-03-31T21:00:00,2021-04-09T09:00:00,2021-04-14T03:00:00,2021-04-14T03:00:00,101672.40000000001,101413.62000000001,101887.5,101887.5,258.77999999999884,0.25452335147001426,13.25,5,78.46153846153847,21.53846153846154,51.0,70.0,29.230769230769234,45.5
11,completed,42,47,49,49,2021-04-17T21:00:00,2021-04-30T03:00:00,2021-05-07T15:00:00,2021-05-07T15:00:00,102260.0,101858.61000000002,102275.15000000001,102275.15000000001,401.38999999998487,0.39251906903968786,19.75,7,93.84615384615384,6.153846153846154,61.0,89.23076923076924,10.76923076923077,58.0
12,completed,49,50,51,51,2021-05-07T15:00:00,2021-05-09T09:00:00,2021-05-14T21:00:00,2021-05-14T21:00:00,102275.15000000001,102064.81000000001,102317.16,102317.16,210.3399999999965,0.2056609058994257,7.25,2,60.0,40.0,39.0,34.61538461538461,64.61538461538461,22.5
13,completed,52,53,54,54,2021-05-16T15:00:00,2021-05-20T09:00:00,2021-05-24T03:00:00,2021-05-24T03:00:00,102529.66,102300.76500000001,102553.60500000001,102553.60500000001,228.89499999998952,0.22324759489106813,7.5,2,66.15384615384615,33.84615384615385,43.0,36.92307692307693,63.07692307692307,24.0
14,completed,55,57,58,58,2021-05-26T21:00:00,2021-06-01T09:00:00,2021-06-09T03:00:00,2021-06-09T03:00:00,102766.10500000001,102536.67500000002,102820.57,102820.57,229.42999999999302,0.22325454487157315,13.25,3,67.6923076923077,32.30769230769231,44.0,70.0,29.230769230769234,45.5
15,completed,59,61,62,62,2021-06-11T21:00:00,2021-06-18T09:00:00,2021-06-21T03:00:00,2021-06-21T03:00:00,102920.57,102672.925,102957.35500000001,102957.35500000001,247.64500000000407,0.24061759471406355,9.25,3,73.84615384615385,26.153846153846157,48.0,48.46153846153846,49.23076923076923,31.5
16,completed,64,65,66,66,2021-06-25T03:00:00,2021-06-26T15:00:00,2021-06-28T21:00:00,2021-06-28T21:00:00,103372.5,103260.8,103378.3,103378.3,111.69999999999709,0.10805581755302145,3.75,2,21.53846153846154,78.46153846153847,14.0,18.461538461538463,76.92307692307693,12.0
